Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ruthless;Ruthless;;;;;;;;;;;;;
rebellious;Rebellious;;;;;;;;;;;;;
skilled;Skilled;Talentueux;Geschickt;;;;;;;;;;;
secretive;Secretive;;;;;;;;;;;;;
shrinking_violet;Shrinking Violet;Timoré;Mauerblümchen;;;;;;;;;;;
sinner;Sinner;;;;;;;;;;;;;
strange;Strange;Étrange;Merkwürdig;;;;;;;;;;;
stout;Stout;Solide;Beherzt;;;;;;;;;;;
soldierly;Soldierly;Militaire;Soldatisch;;;;;;;;;;;
spirited;Spirited;Fougueux;Sprühend;;;;;;;;;;;
stalwart;Stalwart;Robuste;Robust;;;;;;;;;;;
soft;Soft;Indolent;Weich;;;;;;;;;;;
spineless;Spineless;Mou;Rückgratlos;;;;;;;;;;;
stouthearted;Stouthearted;Intrépide;Beherzt;;;;;;;;;;;
steadfast;Steadfast;Inébranlable;Solide;;;;;;;;;;;
scared;Scared;Craintif;Verängstigt;;;;;;;;;;;
shirker;Shirker;Tire-au-flanc;Drückeberger;;;;;;;;;;;
smart_p;Smart;Habile;Schlau;;;;;;;;;;;
sharp;Sharp;Malin;Klug;;;;;;;;;;;
timid;Timid;Timide;Furchtsam;;;;;;;;;;;
tactful;Tactful;Délicat;Taktvoll;;;;;;;;;;;
unflinching;Unflinching;Opiniâtre;Entschlossen;;;;;;;;;;;
unruly;Unruly;Insoumis;Widerborstig;;;;;;;;;;;
undisciplined;Undisciplined;Indiscipliné;Undiszipliniert;;;;;;;;;;;
unforgiving;Unforgiving;;;;;;;;;;;;;
unmanly;Unmanly;Lâche;Unmännlich;;;;;;;;;;;
unsound;Unsound;Dangereux;Unzuverlässig;;;;;;;;;;;
vainglorious;Vainglorious;Vaniteux;Prahlerisch;;;;;;;;;;;
vicious;Vicious;Violent;Bösartig;;;;;;;;;;;
wrathful;Wrathful;Courroucé;Zornerfüllt;;;;;;;;;;;
wretched;Wretched;Misérable;Jämmerlich;;;;;;;;;;;
yellow;Yellow;Trouillard;Memme;;;;;;;;;;;
no_background;No Background;Aucun(e);Nichts;;;;;;;;;;;
ambitious_careerist;Ambitious Careerist;;;;;;;;;;;;;
architect;Architect;;;;;;;;;;;;;
armchair_general;Armchair General;Général de façade;Sesselgeneral;;;;;;;;;;;
artillerist;Artillerist;Artilleur;Artillerist;;;;;;;;;;;
amateur;Amateur;Amateur;Amateur;;;;;;;;;;;
aristocrat;Aristocrat;Aristocrate;Aristokrat;;;;;;;;;;;
adventurer;Adventurer;Aventurier;Abenteurer;;;;;;;;;;;
butcher;Butcher;Boucher;Schlächter;;;;;;;;;;;
bureaucrat_speed;Bureaucrat Speed;Vitesse de bureaucrate;Bürokratische Geschwindigkeit;;;;;;;;;;;
brownnoser;Brownnoser;Lèche-cul;Stiefellecker;;;;;;;;;;;
brilliant_strategist;Brilliant Strategist;;;;;;;;;;;;;
bootlicker;Bootlicker;Lèche-bottes;Speichellecker;;;;;;;;;;;
cavalry_school;Cavalry School;École de cavalerie;Kavallerieschule;;;;;;;;;;;
colonial_recruit;Colonial Recruit;;;;;;;;;;;;;
colonial_b;Colonial;Colonial;Kolonial;;;;;;;;;;;
cartographer;Cartographer;Cartographe;Kartograf;;;;;;;;;;;
cursed_luck;Cursed Luck;Malchanceux;Vom Pech verflucht;;;;;;;;;;;
corrupt;Corrupt;Corrompu;Korrupt;;;;;;;;;;;
clueless;Clueless;Ignorant;Ahnungslos;;;;;;;;;;;
debutante;Debutante;Débutant;Debütant;;;;;;;;;;;
disgraced;Disgraced;Déshonoré;In Ungnade Gefallener;;;;;;;;;;;
drillmaster;Drillmaster;Sergent instructeur;Zuchtmeister;;;;;;;;;;;
diplomat;Diplomat;Diplomate;Diplomat;;;;;;;;;;;
engineer;Engineer;Génie;Ingenieur;;;;;;;;;;;
entrepreneur;Entrepreneur;;;;;;;;;;;;;
exranker;Exranker;Ancien militaire;Ex-Gefreiter;;;;;;;;;;;
expert_raider;Expert Raider;Commando expérimenté;Überfallexperte;;;;;;;;;;;
eccentric_genius;Eccentric Genius;Génie excentrique;Exzentrisches Genie;;;;;;;;;;;
elder_statesmen;Elder Statesman;;;;;;;;;;;;;
elderly;Elderly;Âgé;Älter;;;;;;;;;;;
ethnic;Ethnic;;;;;;;;;;;;;
gifted_administrator;Gifted Administrator;Administrateur doué;Begabter Administrator;;;;;;;;;;;
generals_aide;General's Aide;Aide de camp;Generalsadjutant;;;;;;;;;;;
hated;Hated;Odieux;Gehasst;;;;;;;;;;;
innovative_tactician;Innovative Tactician;Tacticien novateur;Innovativer Taktiker;;;;;;;;;;;
immoral;Immoral;Immoral;Unmoralisch;;;;;;;;;;;
introverted_philosopher;Introverted Philosopher;;;;;;;;;;;;;
incompetent;Incompetent;Incompétent;Inkompetent;;;;;;;;;;;
intellectual;Intellectual;;;;;;;;;;;;;
military_theoretician;Military Theoretician;;;;;;;;;;;;;
megalomaniac;Megalomaniac;Mégalomane;Megalomane;;;;;;;;;;;
mercenary;Mercenary;;;;;;;;;;;;;
feeble;Feeble;;;;;;;;;;;;;
harsh_disciplinarian;Harsh Disciplinarian;;;;;;;;;;;;;
fearsome;Fearsome;;;;;;;;;;;;;
independent;Independent-Minded;;;;;;;;;;;;;
bureaucrat;Bureaucrat;;;;;;;;;;;;;
member_of_elite;Member of the Elite;;;;;;;;;;;;;
natural_born_leader;Natural Born Leader;Leader naturel;Geborener Anführer;;;;;;;;;;;
nationalist;Nationalist;;;;;;;;;;;;;
old_school;Old School;Vieille école;Alte Schule;;;;;;;;;;;
poet;Poet;Poète;Poet;;;;;;;;;;;
priest;Priest;Prêtre;Priester;;;;;;;;;;;
professor;Professor;Professeur;Professor;;;;;;;;;;;
powerful_friends;Powerful Friends;Amis puissants;Mächtige Freunde;;;;;;;;;;;
pawn;Pawn;Pion;Pfand;;;;;;;;;;;
questionable_loyalties;Questionable Loyalties;;;;;;;;;;;;;
renowned_adventurer;Renowned Adventurer;;;;;;;;;;;;;
politician;Politician;Politicien;Politiker;;;;;;;;;;;
rising_star;Rising Star;Étoile montante;Aufsteigender Stern;;;;;;;;;;;
religious_fanatic;Religious Fanatic;;;;;;;;;;;;;
religious_leader;Religious Leader;;;;;;;;;;;;;
railroad_man;Railroad Man;;;;;;;;;;;;;
rags_to_riches;Rags to Riches;;;;;;;;;;;;;
son_of_hero;Hero's Son;;;;;;;;;;;;;
spoiled;Spoiled;Gâté;Verwöhnt;;;;;;;;;;;
school_of_defense;School of Defense;École de défense;Schule der Verteidigung;;;;;;;;;;;
school_of_offense;School of Offense;École d'attaque;Schule der Offensive;;;;;;;;;;;
school_of_the_bayonet;School of the Bayonet;École de la baïonnette;Schule des Bajonetts;;;;;;;;;;;
school_of_firepower;School of Firepower;École de la puissance de feu;Schule der Feuerkraft;;;;;;;;;;;
sad_sack;Sad Sack;Raté;Trauriger Sack;;;;;;;;;;;
state_ideologue;State Ideologue;;;;;;;;;;;;;
sucker;Sucker;Gogo;Trottel;;;;;;;;;;;
sycophant;Sycophant;Flagorneur;Kriecher;;;;;;;;;;;
toady;Toady;Flatteur;Schleimer;;;;;;;;;;;
turncoat;Turncoat;;;;;;;;;;;;;
university_educated;University Educated;;;;;;;;;;;;;
uncommonly_young;Uncommonly Young;Singulièrement jeune;Ungewöhnlich jung;;;;;;;;;;;
unfit;Unfit;Inapte;Ungeeignet;;;;;;;;;;;
unqualified;Unqualified;Non qualifié;Unqualifiziert;;;;;;;;;;;
unfulfilled_potential;Unfulfilled Potential;;;;;;;;;;;;;
warmonger;Warmonger;Belliciste;Kriegstreiber;;;;;;;;;;;
war_college;War College;École militaire;Militärakademie;;;;;;;;;;;
wounded_veteran;Wounded Veteran;;;;;;;;;;;;;
womanizer;Womanizer;Coureur de jupons;Schürzenjäger;;;;;;;;;;;
yesman;Yesman;Béni-oui-oui;Jasager;;;;;;;;;;;
arab_revolt_ended;Arab Revolt Ended;;;;;;;;;;;;;
newly_released_nation;Newly-Formed Nation;;;;;;;;;;;;;
crop_rotation;Crop Rotation;;;;;;;;;;;;;
crop_rotation_desc;The practice of crop rotation is now being used in local farms.;;;;;;;;;;;;;
phosphates;Phosphates;;;;;;;;;;;;;
phosphates_desc;Phosphates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;;
nitrates;Nitrates;;;;;;;;;;;;;
nitrates_desc;Nitrates are now being used to fertilize farm soil in the area.;;;;;;;;;;;;;
will_support_entre_rios;Pledged Support to Entre Rios;;;;;;;;;;;;;
shaft_mine;Shaft Mining;;;;;;;;;;;;;
shaft_mine_desc;Deep shaft mining has been developed in the province.;;;;;;;;;;;;;
pit_mine;Pit Mining;;;;;;;;;;;;;
pit_mine_desc;Pit mining has been developed in the province.;;;;;;;;;;;;;
strip_mine;Strip Mining;;;;;;;;;;;;;
strip_mine_desc;Strip mining has been developed in the province.;;;;;;;;;;;;;
tax_reforms;National Tax Reforms;;;;;;;;;;;;;
tax_reforms_desc;Recent reforms to tax laws have increased our tax efficiency… at least until those laws are repealed or loopholes found to evade them.;;;;;;;;;;;;;
intense_farming;Intensive Farming;;;;;;;;;;;;;
intense_farming_desc;Plantations have been started in this province to more efficiently and intensively farm it-- even though this comes with a risk of exhausting the farmland.;;;;;;;;;;;;;
exhausted_land;Exhausted Farmland;;;;;;;;;;;;;
exhausted_land_desc;The intensive farming of this province's farmland has exhausted the soil. Production will be low until the land recovers.;;;;;;;;;;;;;
irrigration_network;Irrigation Network;;;;;;;;;;;;;
irrigration_network_desc;An irrigation network has been built here, allowing the desert to be farmed more effectively.;;;;;;;;;;;;;
population_trend;Population Growth Trend;;;;;;;;;;;;;
population_trend_desc;Our nation has recently experienced a change in our population growth. It will likely remain stable for some time to come.;;;;;;;;;;;;;
point_five_children;Growth Rate: 0.5 Children;;;;;;;;;;;;;
point_five_children_desc;Our nation's growth rate is abysmal-- roughly equivalent to one child for every four healthy adults.;;;;;;;;;;;;;
one_child;Growth Rate: 1 Child;;;;;;;;;;;;;
one_child_desc;Our nation's growth rate is very low-- roughly equivalent to one child for every two healthy adults.;;;;;;;;;;;;;
one_point_five_children;Growth Rate: 1.5 Children;;;;;;;;;;;;;
one_point_five_children_desc;Our nation's growth rate is low-- roughly equivalent to three children for every four healthy adults.;;;;;;;;;;;;;
two_children;Growth Rate: 2 Children;;;;;;;;;;;;;
two_children_desc;Our nation's growth rate is stable-- roughly equivalent to two children for every two healthy adults.;;;;;;;;;;;;;
two_point_five_children;Growth Rate: 2.5 Children;;;;;;;;;;;;;
two_point_five_children_desc;Our nation's growth rate is above average-- roughly equivalent to five children for every four healthy adults.;;;;;;;;;;;;;
three_children;Growth Rate: 3 Children;;;;;;;;;;;;;
three_children_desc;Our nation's growth rate is high-- roughly equivalent to three children for every two healthy adults.;;;;;;;;;;;;;
four_children;Growth Rate: 4 Children;;;;;;;;;;;;;
four_children_desc;Our nation's growth rate is very high-- roughly equivalent to four children for every two healthy adults.;;;;;;;;;;;;;
bleeding;Bleeding State;;;;;;;;;;;;;
bleeding_desc;Caught between the forces of abolitionism and those supporting slavery, this state is in the throes of violence as the locals attempt to sway the entire populace one way or the other.;;;;;;;;;;;;;
submarine;Submarine;;;;;;;;;;;;;
